Number,target_variable,Ankle plantar/dorsiflexion angle(бу),Ankle in/eversion angle(бу),Hip ad/abduction angle(бу),Knee flex/extension angle(бу),Knee ad/abduction angle(бу),Knee in/external rotation angle(бу),M/L pelvic lean(бу),Vertical pelvic lean(бу),Vertical trunk lean(бу),M/L COM position(mm),Vertical COM position(mm)
637,11.39391393,26.1329,3.65269,3.03225,33.8075,12.6453,8.05879,1.32782,-11.6525,-8.44529,741.211,1003.55
638,11.514916,26.0358,3.59495,2.59834,33.0371,12.1634,8.06951,1.10226,-11.7565,-9.2669,723.669,1004.38
639,11.57848228,25.7503,3.53108,2.14644,32.1589,11.6647,7.97183,0.874541,-11.8441,-10.0478,706.082,1005.55
640,11.55834879,25.27,3.46124,1.68395,31.1847,11.1496,7.76278,0.648094,-11.9128,-10.7966,688.443,1007.04
641,11.44155384,24.5858,3.38549,1.21813,30.1248,10.6197,7.43886,0.426017,-11.96,-11.5222,670.745,1008.83
642,11.24363073,23.686,3.30391,0.755844,28.9872,10.0779,6.99693,0.211039,-11.9832,-12.2333,652.981,1010.88
643,12.56796183,25.8874,5.41081,7.6077,25.0035,14.0508,13.8468,4.69977,-3.36558,-0.914616,713.647,997.192
644,12.749313,25.9289,5.31436,7.02953,24.0807,13.149,13.682,4.21632,-2.99911,-1.28194,697.289,999.433
645,12.84490554,25.7299,5.22294,6.40763,22.9656,12.2699,13.4319,3.70724,-2.62637,-1.66318,680.917,1002
646,12.88868329,25.2828,5.13523,5.75919,21.6895,11.4064,13.0999,3.17867,-2.25201,-2.06173,664.526,1004.87
647,12.85780497,24.581,5.04832,5.1013,20.2906,10.5495,12.6893,2.6368,-1.88014,-2.47983,648.112,1008.01
648,12.73951074,23.6192,4.95819,4.44969,18.8103,9.69174,12.2038,2.0877,-1.51428,-2.91853,631.667,1011.41
649,16.78517712,26.5009,3.89977,-1.54481,29.8596,28.45,8.97701,-1.0048,-6.301,-5.38783,773.137,916.903
650,16.98025744,26.4583,3.85,-2.03671,29.1092,27.8867,8.73813,-1.32613,-6.31338,-6.02379,757.234,917.818
651,17.08023667,26.2295,3.79859,-2.55359,28.2385,27.265,8.39908,-1.66037,-6.30015,-6.65531,741.237,919.176
652,17.09063083,25.8019,3.74528,-3.09251,27.2536,26.5856,7.96449,-2.00463,-6.25858,-7.27613,725.141,920.965
653,16.97700614,25.1619,3.68955,-3.65034,26.1593,25.8489,7.43898,-2.35614,-6.18616,-7.88023,708.94,923.168
654,16.76587717,24.2947,3.6306,-4.22352,24.9599,25.0549,6.82723,-2.71222,-6.08095,-8.46225,692.631,925.764
655,10.05982623,27.9743,1.10619,1.28962,37.0509,13.689,-9.60157,-3.40528,-3.23452,-3.36177,790.716,961.712
656,10.23037811,28.0718,1.04235,0.892021,35.6814,13.1731,-10.2926,-3.65782,-3.14018,-3.79304,771.931,964.473
657,10.29219556,27.9593,0.971748,0.464129,34.1522,12.613,-11.0797,-3.91812,-3.01841,-4.22025,753.093,967.562
658,10.24955896,27.619,0.893961,0.00874677,32.483,12.0157,-11.95,-4.18297,-2.87132,-4.64616,734.201,970.951
659,10.11482116,27.0323,0.808338,-0.469776,30.6964,11.3873,-12.8902,-4.44889,-2.70164,-5.07284,715.251,974.609
660,9.881370043,26.1807,0.714157,-0.965485,28.8182,10.733,-13.8852,-4.71225,-2.51275,-5.50166,696.24,978.501
661,27.38480599,21.6673,2.95304,2.94093,33.5915,18.3825,10.0318,-2.56361,-7.28852,-1.21225,602.267,923.133
662,28.08092911,22.2056,2.91547,2.40411,33.1357,17.9309,10.0762,-2.92959,-7.37414,-2.29343,580.511,923.29
663,28.46618808,22.3891,2.86174,1.7881,32.4038,17.4441,9.89875,-3.30451,-7.43207,-3.35142,558.633,924.078
664,28.50827823,22.2009,2.79114,1.09547,31.412,16.9287,9.50023,-3.68664,-7.45932,-4.37195,536.623,925.485
665,28.13846107,21.6251,2.70274,0.330428,30.178,16.3888,8.88182,-4.07447,-7.45194,-5.34004,514.478,927.488
666,27.44478341,20.6476,2.59566,-0.500443,28.7211,15.8266,8.04657,-4.46641,-7.40568,-6.24107,492.195,930.05
667,19.63423694,30.855,2.37221,6.63455,20.3835,29.9152,-5.91224,2.41295,-2.81194,-8.63323,685.007,955.213
668,19.80847737,31.2706,2.34897,6.28164,19.7394,28.8119,-6.07826,2.09672,-2.6674,-9.02726,667.301,957.682
669,19.87424756,31.4619,2.32647,5.88378,18.9468,27.6121,-6.38199,1.77045,-2.49803,-9.40946,649.531,960.541
670,19.79386439,31.4052,2.30365,5.44467,18.0217,26.3302,-6.83118,1.43901,-2.30272,-9.78222,631.697,963.766
671,19.6511683,31.0765,2.27929,4.96838,16.9802,24.9814,-7.43345,1.10714,-2.08065,-10.1468,613.795,967.329
672,19.37383011,30.4533,2.25207,4.4591,15.8363,23.582,-8.19619,0.779202,-1.83143,-10.5031,595.825,971.197
673,12.32565549,24.471,2.55615,3.14123,30.8428,18.4643,2.70926,0.922716,-3.66447,-7.13087,740.598,974.685
674,12.4417922,24.8363,2.5451,2.97695,29.9882,18.0642,2.39862,0.745521,-3.70881,-7.61022,723.636,975.768
675,12.50845166,24.9952,2.51563,2.75214,29.0125,17.5704,1.9787,0.519074,-3.80204,-8.14612,706.513,977.403
676,12.49460799,24.9329,2.46898,2.46367,27.9251,17,1.45331,0.249958,-3.9396,-8.73747,689.234,979.545
677,12.39196858,24.6363,2.40622,2.11046,26.7345,16.3711,0.824554,-0.0532657,-4.11202,-9.3778,671.804,982.147
678,12.18081796,24.0942,2.32813,1.69412,25.4488,15.7013,0.0922097,-0.380855,-4.30555,-10.0558,654.23,985.162
679,11.51990593,19.2471,2.10527,14.4465,33.4119,1.9873,-7.24093,3.59703,-9.26722,-0.615744,811.676,992.281
680,11.6799075,19.4723,2.03544,13.7926,32.5737,1.86185,-7.30564,3.31824,-8.95373,-1.045,796.925,993.585
681,11.76087813,19.5536,1.94382,13.1237,31.6623,1.72325,-7.4626,3.03222,-8.6376,-1.49496,782.151,995.225
682,11.7799221,19.4896,1.83351,12.4487,30.6955,1.57953,-7.70584,2.74005,-8.32894,-1.97224,767.351,997.185
683,11.73079137,19.278,1.7075,11.7736,29.6883,1.43796,-8.02824,2.44234,-8.03608,-2.48108,752.527,999.447
684,11.5879961,18.9163,1.56851,11.1017,28.6531,1.30464,-8.42199,2.1395,-7.76524,-3.02313,737.676,1001.99
685,23.37699336,26.1722,2.71646,8.15863,41.1482,7.4425,8.12941,2.72318,-5.29235,-5.62376,662.599,905.566
686,23.76396366,26.6055,2.68129,7.90688,40.0202,7.00146,7.95556,2.38195,-5.25257,-6.54438,643.139,906.675
687,23.95905725,26.7855,2.6278,7.60372,38.6654,6.60936,7.52004,2.02277,-5.16322,-7.43609,623.584,908.3
688,23.95542525,26.6911,2.55547,7.24515,37.1075,6.26345,6.8286,1.64614,-5.02472,-8.28663,603.926,910.423
689,23.70412202,26.2984,2.46296,6.82749,35.3697,5.95955,5.88787,1.25303,-4.83835,-9.08451,584.161,913.019
690,23.22427729,25.5816,2.34816,6.34799,33.4743,5.69228,4.70581,0.844966,-4.60643,-9.81982,564.281,916.056
691,12.30353003,24.7528,1.42619,8.22788,33.1026,12.3987,-13.4256,-1.0086,-13.1614,-9.26258,773.022,946.677
692,12.44448832,24.7977,1.32662,7.51362,31.9194,11.7129,-13.8419,-1.31386,-12.9568,-9.9445,756.429,948.624
693,12.49266431,24.667,1.21867,6.78158,30.6418,11.0071,-14.35,-1.63173,-12.7496,-10.6356,739.782,950.891
694,12.45180813,24.3489,1.10213,6.03769,29.2884,10.291,-14.9497,-1.95853,-12.5424,-11.3339,723.074,953.457
695,12.31281805,23.8307,0.97649,5.28665,27.8774,9.57472,-15.6409,-2.29034,-12.3372,-12.0361,706.295,956.3
696,12.09341187,23.0985,0.841112,4.53203,26.4255,8.86833,-16.4229,-2.62316,-12.1348,-12.7381,689.441,959.394
