Number,target_variable,Ankle plantar/dorsiflexion angle(бу),Ankle in/eversion angle(бу),Hip ad/abduction angle(бу),Knee flex/extension angle(бу),Knee ad/abduction angle(бу),Knee in/external rotation angle(бу),M/L pelvic lean(бу),Vertical pelvic lean(бу),Vertical trunk lean(бу),M/L COM position(mm),Vertical COM position(mm)
164,23.96021743,25.3445,2.6875,8.68443,35.1974,6.21667,6.96484,3.57796,-9.69745,-7.07984,648.531,915.359
165,24.19137014,25.526,2.62822,8.24143,33.8843,5.87903,6.46956,3.17042,-9.6734,-7.96942,628.881,916.536
166,24.19239836,25.4228,2.55091,7.73825,32.3447,5.57311,5.68849,2.74651,-9.57631,-8.79694,609.14,918.245
167,23.94263056,25.009,2.45365,7.17573,30.607,5.29034,4.62706,2.30815,-9.40882,-9.55491,589.301,920.458
168,23.40701781,24.2579,2.33348,6.55542,28.7008,5.02185,3.29467,1.85783,-9.17528,-10.2375,569.355,923.139
169,12.33382254,26.3765,1.78614,9.37326,35.2286,13.2097,-11.8002,-0.701175,-11.5938,-8.78639,776.499,936.954
170,12.52960086,26.5595,1.70328,8.67348,33.9785,12.5698,-12.295,-0.984711,-11.4163,-9.47703,760.153,938.55
171,12.61443856,26.5691,1.6053,7.91267,32.5957,11.8972,-12.9052,-1.29307,-11.2161,-10.1554,743.754,940.478
172,12.61033643,26.3967,1.49213,7.1012,31.101,11.1977,-13.6232,-1.62209,-10.9969,-10.8224,727.296,942.719
173,12.52922471,26.033,1.36353,6.24983,29.5157,10.4779,-14.4417,-1.96724,-10.7624,-11.4782,710.769,945.25
174,12.35630793,25.4677,1.2191,5.36953,27.8607,9.74538,-15.3529,-2.32376,-10.5163,-12.1225,694.166,948.049
175,11.71686112,25.577,3.7155,3.24384,28.3182,12.5886,12.3281,1.71098,-1.59314,-0.358253,745.895,983.039
176,11.80561472,25.5676,3.64981,2.97976,27.3033,12.1577,11.7395,1.41413,-1.41743,-0.987112,731.147,984.411
177,11.86446585,25.4203,3.57919,2.71164,26.2199,11.6951,11.0647,1.09672,-1.25732,-1.63313,716.338,986.096
178,11.87370233,25.1211,3.5037,2.43889,25.0775,11.2082,10.3063,0.761523,-1.11261,-2.29443,701.466,988.079
